dataset,budget_ratio,selector,reference,n_paired_training_seeds,test_accuracy_difference_pp,paired_sample_sd_pp,lower/equal/higher
PubMed,0.01,p_graph,degree,3,-0.10987153482082679,0.5451809811653201,lower
PubMed,0.01,p_graph,random,3,-0.19438810006761065,0.25014618977263137,lower
PubMed,0.01,p_point,degree,3,0.10141987829614212,0.2253598990191625,higher
PubMed,0.01,p_point,random,3,0.016903313049358253,0.21860238601043733,higher
PubMed,0.01,r_point,degree,3,-0.12677484787018503,0.11051975008977617,lower
PubMed,0.01,r_point,random,3,-0.2112914131169689,0.23006520603137542,lower
PubMed,0.01,random,degree,3,0.08451656524678386,0.3046115836872896,higher
PubMed,0.01,random,random,3,0.0,0.0,equal
PubMed,0.05,degree,degree,3,0.0,0.0,equal
PubMed,0.05,degree,random,3,0.15212981744422058,0.2573248368431063,higher
PubMed,0.05,gt_full,degree,3,-0.7521974306964182,0.1396442836533008,lower
PubMed,0.05,gt_full,random,3,-0.6000676132521976,0.396327724398017,lower
PubMed,0.05,gt_full_all_trainable,degree,3,-0.37187288708587046,0.47117511375139504,lower
PubMed,0.05,gt_full_all_trainable,random,3,-0.21974306964164989,0.5510454128702792,lower
PubMed,0.05,gt_full_all_trainable_hops3,degree,3,-0.2704530087897246,0.26873078254875526,lower
PubMed,0.05,gt_full_all_trainable_hops3,random,3,-0.11832319134550406,0.3299395080450103,lower
PubMed,0.05,gt_full_sgc_all_trainable_hops3,degree,3,0.2873563218390755,0.2804371200648572,higher
PubMed,0.05,gt_full_sgc_all_trainable_hops3,random,3,0.43948613928329605,0.07746071154421295,higher
PubMed,0.05,gt_simple,degree,3,-0.20283975659229161,0.3936149770856999,lower
PubMed,0.05,gt_simple,random,3,-0.05070993914807106,0.14117049601496182,lower
PubMed,0.05,p_graph,degree,3,-0.5747126436781658,0.27928856730659424,lower
PubMed,0.05,p_graph,random,3,-0.4225828262339452,0.20650425495048122,lower
PubMed,0.05,p_point,degree,3,-0.912778904665316,0.11051975008977617,lower
PubMed,0.05,p_point,random,3,-0.7606490872210955,0.36567457154807215,lower
PubMed,0.05,r_point,degree,3,-0.7775524002704537,0.14856656382054745,lower
PubMed,0.05,r_point,random,3,-0.6254225828262331,0.2971331276410908,lower
PubMed,0.05,random,degree,3,-0.15212981744422058,0.2573248368431063,lower
PubMed,0.05,random,random,3,0.0,0.0,equal
PubMed,0.1,degree,degree,3,0.0,0.0,equal
PubMed,0.1,degree,random,3,-0.008451656524677276,0.1549214230884259,lower
PubMed,0.1,gt_full,degree,3,-2.265043948613928,0.6982214182664933,lower
PubMed,0.1,gt_full,random,3,-2.2734956051386055,0.5794780161062204,lower
PubMed,0.1,gt_full_all_trainable,degree,3,-1.3269100743745803,0.183422366583929,lower
