budget,dataset,family,method,removed_directed_edges,retained_train_accuracy_drop,reused_identical_selected_set,seed,test_accuracy_drop,test_loss_increase,validation_accuracy_drop,validation_loss_increase
14,Cora,C-IF,tracin_cp_simple_6,136,0.0007936954498291016,True,42,0.04900002479553223,0.07605510950088501,0.03799998760223389,0.09552997350692749
3,PubMed,A,a_grad_norm,92,0.0,False,2024,-0.004999995231628418,0.0025759339332580566,-0.0059999823570251465,-0.0021570920944213867
7,PubMed,A,a_grad_norm,162,0.0,False,2024,0.013999998569488525,0.010489284992218018,0.0059999823570251465,-0.005174815654754639
14,PubMed,A,a_grad_norm,194,0.0,False,2024,0.017000019550323486,0.025492727756500244,0.013999998569488525,-0.00020927190780639648
3,PubMed,B,b_param_hutch,114,0.0,False,2024,-0.009000003337860107,0.002402365207672119,0.001999974250793457,0.0035640597343444824
7,PubMed,B,b_param_hutch,162,0.0,True,2024,0.013999998569488525,0.010489284992218018,0.0059999823570251465,-0.005174815654754639
14,PubMed,B,b_param_hutch,190,0.0,False,2024,0.04100000858306885,0.05292975902557373,0.03600001335144043,0.027719497680664062
3,PubMed,B,b_param_lissa,92,0.0,True,2024,-0.004999995231628418,0.0025759339332580566,-0.0059999823570251465,-0.0021570920944213867
7,PubMed,B,b_param_lissa,162,0.0,True,2024,0.013999998569488525,0.010489284992218018,0.0059999823570251465,-0.005174815654754639
14,PubMed,B,b_param_lissa,190,0.0,False,2024,0.013000011444091797,0.02311927080154419,0.009999990463256836,-0.002270936965942383
3,PubMed,control,degree,164,0.0,False,2024,-0.001999974250793457,-0.0014836788177490234,0.0059999823570251465,-0.0038772225379943848
