budget,common_fraction,dataset,intersection,jaccard,kendall,left,right,seed,sign_agreement,spearman
7,0.8571428571428571,Cora,6,0.75,0.6935251798561151,tracin_cp_point_3,r_point,212,0.85,0.8580262841398615
14,0.9285714285714286,Cora,13,0.8666666666666667,0.6935251798561151,tracin_cp_point_3,r_point,212,0.85,0.8580262841398615
3,0.6666666666666666,Cora,2,0.5,0.7013360739979445,tracin_cp_point_6,r_point,212,0.8357142857142857,0.86419277951499
7,0.8571428571428571,Cora,6,0.75,0.7013360739979445,tracin_cp_point_6,r_point,212,0.8357142857142857,0.86419277951499
14,0.9285714285714286,Cora,13,0.8666666666666667,0.7013360739979445,tracin_cp_point_6,r_point,212,0.8357142857142857,0.86419277951499
3,1.0,Cora,3,1.0,0.6303073917960317,tracin_cp_simple_3,gt_simple,212,0.8,0.7497698482638577
7,0.8571428571428571,Cora,6,0.75,0.6303073917960317,tracin_cp_simple_3,gt_simple,212,0.8,0.7497698482638577
14,0.9285714285714286,Cora,13,0.8666666666666667,0.6303073917960317,tracin_cp_simple_3,gt_simple,212,0.8,0.7497698482638577
3,1.0,Cora,3,1.0,0.6426441862855967,tracin_cp_simple_6,gt_simple,212,0.8071428571428572,0.761473146048497
7,1.0,Cora,7,1.0,0.6426441862855967,tracin_cp_simple_6,gt_simple,212,0.8071428571428572,0.761473146048497
14,1.0,Cora,14,1.0,0.6426441862855967,tracin_cp_simple_6,gt_simple,212,0.8071428571428572,0.761473146048497
3,0.0,Cora,0,0.0,0.41356628982528265,tracin_cp_graph_3,gt_full,212,0.6714285714285714,0.5596160153943714
7,0.42857142857142855,Cora,3,0.2727272727272727,0.41356628982528265,tracin_cp_graph_3,gt_full,212,0.6714285714285714,0.5596160153943714
14,0.42857142857142855,Cora,6,0.2727272727272727,0.41356628982528265,tracin_cp_graph_3,gt_full,212,0.6714285714285714,0.5596160153943714
3,0.0,Cora,0,0.0,0.4302158273381295,tracin_cp_graph_6,gt_full,212,0.6714285714285714,0.5899455511578581
7,0.5714285714285714,Cora,4,0.4,0.4302158273381295,tracin_cp_graph_6,gt_full,212,0.6714285714285714,0.5899455511578581
14,0.42857142857142855,Cora,6,0.2727272727272727,0.4302158273381295,tracin_cp_graph_6,gt_full,212,0.6714285714285714,0.5899455511578581
3,1.0,Cora,3,1.0,0.9056526207605344,a_grad_norm,b_param_lissa,42,1.0,0.9871115873258841
7,0.7142857142857143,Cora,5,0.5555555555555556,0.9056526207605344,a_grad_norm,b_param_lissa,42,1.0,0.9871115873258841
14,0.8571428571428571,Cora,12,0.75,0.9056526207605344,a_grad_norm,b_param_lissa,42,1.0,0.9871115873258841
3,0.3333333333333333,Cora,1,0.2,0.9112024665981501,b_param_hutch,b_param_lissa,42,1.0,0.9874395923990291
7,0.8571428571428571,Cora,6,0.75,0.9112024665981501,b_param_hutch,b_param_lissa,42,1.0,0.9874395923990291
14,0.8571428571428571,Cora,12,0.75,0.9112024665981501,b_param_hutch,b_param_lissa,42,1.0,0.9874395923990291
3,0.0,Cora,0,0.0,-0.06536485097636177,b_param_lissa,gt_full,42,0.5928571428571429,-0.09294789092737969
7,0.0,Cora,0,0.0,-0.06536485097636177,b_param_lissa,gt_full,42,0.5928571428571429,-0.09294789092737969
14,0.07142857142857142,Cora,1,0.037037037037037035,-0.06536485097636177,b_param_lissa,gt_full,42,0.5928571428571429,-0.09294789092737969
3,0.0,Cora,0,0.0,0.0033920954301547633,gt_simple,gt_full,42,0.5214285714285715,0.00283397312756481
7,0.0,Cora,0,0.0,0.0033920954301547633,gt_simple,gt_full,42,0.5214285714285715,0.00283397312756481
14,0.07142857142857142,Cora,1,0.037037037037037035,0.0033920954301547633,gt_simple,gt_full,42,0.5214285714285715,0.00283397312756481
3,0.0,Cora,0,0.0,0.06700924974306269,r_point,gt_full,42,0.5785714285714286,0.08882814720867684
7,0.14285714285714285,Cora,1,0.07692307692307693,0.06700924974306269,r_point,gt_full,42,0.5785714285714286,0.08882814720867684
14,0.2857142857142857,Cora,4,0.16666666666666666,0.06700924974306269,r_point,gt_full,42,0.5785714285714286,0.08882814720867684
3,1.0,Cora,3,1.0,0.8509763617677287,p_point,r_point,42,0.9,0.9534888806280204
7,1.0,Cora,7,1.0,0.8509763617677287,p_point,r_point,42,0.9,0.9534888806280204
14,1.0,Cora,14,1.0,0.8509763617677287,p_point,r_point,42,0.9,0.9534888806280204
3,1.0,Cora,3,1.0,0.8926698879407834,p_simple,gt_simple,42,0.9142857142857143,0.9662327495533636
7,1.0,Cora,7,1.0,0.8926698879407834,p_simple,gt_simple,42,0.9142857142857143,0.9662327495533636
14,1.0,Cora,14,1.0,0.8926698879407834,p_simple,gt_simple,42,0.9142857142857143,0.9662327495533636
