cell,method,strategy,seed,failed,f1_after,paired_dF_pct,perf_before,perf_unlearn,perf_retrain,gap,mia_auc,hop1_flip,hop2_flip,hop3_flip,hop>3_flip,unlearn_time_s,selection_time_s
cora_GAT_r0.05,IDEA,hybrid,2024,False,0.821,0.56,0.865314,0.863469,0.859779,-0.00369,0.2619,,,,,0.8541,0.0365
cora_GAT_r0.05,GraphEraser,random,42,False,0.8395,0.0,0.752768,0.586716,0.750923,0.164207,0.5445,,,,,13.0575,0.0002
cora_GAT_r0.05,GraphEraser,random,212,False,0.8284,0.0,0.725092,0.717712,0.736162,0.01845,0.6024,,,,,12.6772,0.0002
cora_GAT_r0.05,GraphEraser,random,722,False,0.8432,0.0,0.758303,0.730627,0.714022,-0.016605,0.5446,,,,,13.348,0.0002
cora_GAT_r0.05,GraphEraser,random,1337,False,0.8026,0.0,0.728782,0.726937,0.708487,-0.01845,0.5698,,,,,13.1964,0.0003
cora_GAT_r0.05,GraphEraser,random,2024,False,0.8247,0.0,0.721402,0.761993,0.717712,-0.04428,0.5588,,,,,18.414,0.0002
cora_GAT_r0.05,GraphEraser,degree,42,False,0.8303,0.92,0.756458,0.634686,0.747232,0.112546,0.5376,,,,,13.789,0.0006
cora_GAT_r0.05,GraphEraser,degree,212,False,0.8247,0.37,0.728782,0.678967,0.754613,0.075646,0.6202,,,,,12.4978,0.0006
cora_GAT_r0.05,GraphEraser,degree,722,False,0.8247,1.85,0.758303,0.756458,0.715867,-0.04059,0.4675,,,,,13.3911,0.0006
cora_GAT_r0.05,GraphEraser,degree,1337,False,0.8266,-2.4,0.747232,0.721402,0.708487,-0.012915,0.5483,,,,,15.0997,0.0007
cora_GAT_r0.05,GraphEraser,degree,2024,False,0.8247,0.0,0.719557,0.708487,0.717712,0.009225,0.5572,,,,,13.3963,0.0014
cora_GAT_r0.05,GraphEraser,pagerank,42,False,0.8173,2.22,0.754613,0.658672,0.726937,0.068266,0.574,,,,,13.3294,0.0376
cora_GAT_r0.05,GraphEraser,pagerank,212,False,0.8284,0.0,0.723247,0.643911,0.738007,0.094096,0.5571,,,,,13.449,0.037
cora_GAT_r0.05,GraphEraser,pagerank,722,False,0.8044,3.88,0.758303,0.719557,0.710332,-0.009225,0.5383,,,,,13.5243,0.0367
cora_GAT_r0.05,GraphEraser,pagerank,1337,False,0.8266,-2.4,0.721402,0.721402,0.708487,-0.012915,0.5638,,,,,14.3407,0.0379
cora_GAT_r0.05,GraphEraser,pagerank,2024,False,0.8173,0.74,0.717712,0.660517,0.719557,0.059041,0.5157,,,,,15.1819,0.037
cora_GAT_r0.05,GraphEraser,tracin,42,False,0.8137,2.58,0.752768,0.673432,0.752768,0.079336,0.3852,,,,,12.8614,4.0304
cora_GAT_r0.05,GraphEraser,tracin,212,False,0.8376,-0.92,0.726937,0.756458,0.738007,-0.01845,0.6753,,,,,13.486,3.4496
cora_GAT_r0.05,GraphEraser,tracin,722,False,0.8192,2.4,0.758303,0.736162,0.710332,-0.02583,0.4984,,,,,14.3657,3.4869
cora_GAT_r0.05,GraphEraser,tracin,1337,False,0.8247,-2.21,0.749077,0.708487,0.704797,-0.00369,0.5998,,,,,17.8406,3.3704
cora_GAT_r0.05,GraphEraser,tracin,2024,False,0.8284,-0.37,0.721402,0.754613,0.701107,-0.053506,0.5413,,,,,13.4883,3.8873
cora_GAT_r0.05,GraphEraser,im,42,False,0.8358,0.37,0.754613,0.688192,0.726937,0.038745,0.5112,,,,,14.1193,1.5652
cora_GAT_r0.05,GraphEraser,im,212,False,0.8155,1.29,0.723247,0.714022,0.749077,0.035055,0.548,,,,,13.7391,1.5652
cora_GAT_r0.05,GraphEraser,im,722,False,0.8229,2.03,0.758303,0.715867,0.715867,0.0,0.5854,,,,,13.9203,1.5652
cora_GAT_r0.05,GraphEraser,im,1337,False,0.8118,-0.92,0.728782,0.697417,0.708487,0.01107,0.5648,,,,,13.1815,1.5652
cora_GAT_r0.05,GraphEraser,im,2024,False,0.821,0.37,0.712177,0.721402,0.726937,0.005535,0.5936,,,,,13.5221,1.5652
cora_GAT_r0.05,GraphEraser,hybrid,42,False,0.8284,1.11,0.752768,0.645756,0.749077,0.103321,0.5191,,,,,12.8651,0.0416
cora_GAT_r0.05,GraphEraser,hybrid,212,False,0.8376,-0.92,0.723247,0.745387,0.736162,-0.009225,0.6303,,,,,16.1069,0.0418
cora_GAT_r0.05,GraphEraser,hybrid,722,False,0.8358,0.74,0.758303,0.739852,0.708487,-0.031365,0.6211,,,,,13.0805,0.0419
cora_GAT_r0.05,GraphEraser,hybrid,1337,False,0.8303,-2.77,0.732472,0.710332,0.708487,-0.001845,0.5864,,,,,13.7458,0.042
cora_GAT_r0.05,GraphEraser,hybrid,2024,False,0.8173,0.74,0.719557,0.750923,0.732472,-0.01845,0.466,,,,,13.1389,0.0365
